Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
70g billington s unrefined golden caster sugar,2,1,7,1,2,4,1,0,1
2 tbsp juice of one whole lemon,1,2,7,1,1,2,0,1,1
2 tbsp warm water,1,1,4,1,1,1,0,1,1
15 tsp gelatine powdered,1,1,4,1,2,1,1,1,1
300ml double cream,2,1,3,1,3,1,0,0,1
for the frosting,2,2,3,0,0,1,0,0,0
250g cream cheese at room temperature,1,2,6,1,3,4,0,0,1
60g butter unsalted softened,1,1,4,1,2,1,2,0,1
85g icing sugar sifted,2,1,4,1,2,1,2,0,1
025 tsp vanilla bean paste,2,2,5,1,3,3,0,1,1
just as tasty,0,2,3,0,0,0,0,0,0
1 apple crumble cheesecake,1,0,4,1,1,2,0,0,0
webjpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,5,1,5,5,0,0,0
1 apple,1,0,2,1,1,1,0,0,0
crumble cheesecake webjpg https //assets eu 01kc,1,1,7,1,2,4,1,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/af581ea4 5405 42df 9d9b ae3e9f15259f/1 apple,1,1,11,1,42,3,0,0,0
crumble cheesecake webjpg w 3840 q 85 auto format lossless 1,2,1,11,1,7,7,0,0,0
apple crumble cheesecake,2,2,3,0,0,2,0,0,0
1h30m,2,2,1,1,3,0,0,0,0
serves 14,2,2,2,1,2,1,0,0,0
easy,0,2,1,0,0,0,0,0,0
1 eric,1,0,2,1,1,0,0,0,0
cheesecakejpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,5,1,5,5,0,0,0
1 eric,1,0,2,1,1,0,0,0,0
cheesecakejpg https //assets eu 01kc,1,1,5,1,2,3,1,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/9b889701 1c37 4bf3 a670 53729ff1edee/1 eric,1,1,11,1,44,3,0,0,0
cheesecakejpg w 3840 q 85 auto format lossless 1,2,1,9,1,7,6,0,0,0
baked blueberry cheesecake,2,2,3,0,0,1,2,0,0
1h40m,2,2,1,1,3,0,0,0,0
serves 8,2,2,2,1,1,1,0,0,0
a little effort,0,2,3,0,0,1,0,0,0
1 baked,1,0,2,1,1,0,1,0,0
cheesecakejpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,5,1,5,5,0,0,0
1 baked,1,0,2,1,1,0,1,0,0
cheesecakejpg https //assets eu 01kc,1,1,5,1,2,3,1,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/97c4bb8b 44c1 4a94 92d8 70f165fcb3c5/1 baked,1,1,11,1,43,1,1,0,0
cheesecakejpg w 3840 q 85 auto format lossless 1,2,1,9,1,7,6,0,0,0
baked cheesecake,2,2,2,0,0,1,1,0,0
50m,2,2,1,1,2,0,0,0,0
serves 10,2,2,2,1,2,1,0,0,0
easy,0,2,1,0,0,0,0,0,0
1 baked chocolate cheesecake,1,0,4,1,1,2,0,0,0
webgif data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,5,1,5,5,0,0,0
1 baked,1,0,2,1,1,0,1,0,0
chocolate cheesecake webgif https //assets eu 01kc,1,1,7,1,2,5,1,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/3a0cd18b f0f2 4311 b8ac 0f8d25f2ca40/1 baked,1,1,11,1,41,3,1,0,0
chocolate cheesecake webgif w 3840 q 85 auto format lossless 1,2,1,11,1,7,8,0,0,0
baked chocolate cheesecake,2,2,3,0,0,2,0,0,0
1h10m,2,2,1,1,3,0,0,0,0
serves 6,2,2,2,1,1,1,0,0,0
easy,2,2,1,0,0,0,0,0,0
baking tips confectionery,2,2,3,0,0,2,1,0,0
view all baking tips,0,2,4,0,0,3,0,0,0
how to easter,1,0,3,0,0,0,1,0,0
egg 3 ways headerjpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,8,1,6,5,2,0,0
how,1,0,1,0,0,0,0,0,0
to easter egg 3 ways headerjpg https //assets eu 01kc,1,1,10,1,3,3,3,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/cf155747 ec9b 4b39 b7bd 81ca8e850363/how,1,1,10,1,42,3,0,0,0
to easter egg 3 ways headerjpg w 3840 q 85 auto format lossless 1,2,1,14,1,8,6,2,0,0
how to decorate an easter egg 3 ways,2,2,8,1,1,3,1,0,0
confectionery,0,2,1,0,0,1,0,0,0
kawaii,1,0,1,0,0,1,0,0,0
strawberries placeholder headerjpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,7,1,5,6,1,0,0
kawaii,1,0,1,0,0,1,0,0,0
strawberries placeholder headerjpg https //assets eu 01kc,1,1,7,1,2,3,2,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/58832edc 4be7 419f aa34 937aa0ff21a5/kawaii,1,1,10,1,41,2,0,0,0
strawberries placeholder headerjpg w 3840 q 85 auto format lossless 1,2,1,11,1,7,7,1,0,0
how to decorate strawberries with juliet sear,2,2,7,0,0,2,1,0,0
confectionery,0,2,1,0,0,1,0,0,0
1 easter eggs,1,0,3,1,1,2,0,0,0
webjpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,5,1,5,5,0,0,0
1 easter,1,0,2,1,1,1,0,0,0
eggs webjpg https //assets eu 01kc,1,1,6,1,2,2,2,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/f1c918dc 1e78 496e 9728 4c4e5820091f/1 easter,1,1,11,1,46,2,0,0,0
eggs webjpg w 3840 q 85 auto format lossless 1,2,1,10,1,7,5,1,0,0
how to hand paint an easter egg,2,2,7,0,0,3,1,0,0
confectionery,0,2,1,0,0,1,0,0,0
1 cute chick cake pops square,1,0,6,1,1,2,2,0,0
webjpg data image/gif base64 r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7,0,1,5,1,5,5,0,0,0
1 cute,1,0,2,1,1,1,0,0,0
chick cake pops square webjpg https //assets eu 01kc,1,1,9,1,2,4,2,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/160f91db f32d 4a48 8629 71c3ec8fc7a6/1 cute,1,1,11,1,43,3,0,0,0
chick cake pops square webjpg w 3840 q 85 auto format lossless 1,2,1,13,1,7,7,1,0,0
how to make chick cake pops,2,2,6,0,0,2,1,0,0
confectionery,2,2,1,0,0,1,0,0,0
great recipes and more at bakingmadcom,2,2,6,0,0,2,0,0,0
exclusive gifts and kits to take your baking to the next level competitions,1,2,13,0,0,4,2,0,0
and baker of the month prizes more than 1 000 recipes to try,2,1,13,1,4,3,2,0,0
recipes,2,2,1,0,0,1,0,0,0
bread dough,1,2,2,0,0,2,0,0,0
cakes,1,1,1,0,0,1,0,0,0
confectionery,1,1,1,0,0,1,0,0,0
cookies biscuits,1,1,2,0,0,2,0,0,0
cupcakes muffins,1,1,2,0,0,2,0,1,0
desserts,1,1,1,0,0,1,0,0,0
homemade ice cream ice lollies,1,1,5,0,0,5,0,0,0
icing buttercream,1,1,2,0,0,1,1,0,0
jams marmalade chutneys preserves,1,1,4,0,0,3,1,0,0
pancakes crepe batters,1,1,3,0,0,2,1,0,0
pastries pies tarts,1,1,3,0,0,3,0,0,0
scones shortcakes,1,1,2,0,0,2,0,0,0
sweet sauces,1,1,2,0,0,2,0,0,0
traybakes,2,1,1,0,0,1,0,0,0
discover,2,2,1,0,0,1,0,0,0
birthday,1,2,1,0,0,1,0,0,0
retro bakes,1,1,2,0,0,2,0,0,0
family baking,1,1,2,0,0,2,0,0,0
afternoon tea,1,1,2,0,0,2,0,0,0
celebration cakes,1,1,2,0,0,2,0,0,0
bread machine,1,1,2,0,0,2,0,0,0
cheesecakes,1,1,1,0,0,1,0,0,0
sweet tarts,2,1,2,0,0,2,0,0,0
diet lifestyle,2,2,2,0,0,1,0,0,0
dairy free,1,2,2,0,0,1,0,0,0
egg free,1,1,2,0,0,1,0,0,0
gluten free,1,1,2,0,0,1,0,0,0
low sugar,1,1,2,0,0,1,0,0,0
nut free,1,1,2,0,0,0,0,0,0
reduced calorie,1,1,2,0,0,1,1,0,0
vegan,1,1,1,0,0,1,0,0,0
vegetarian,2,1,1,0,0,0,0,0,0
about us,2,2,2,0,0,0,0,0,0
our story,1,2,2,0,0,1,0,0,0
contact us,2,1,2,0,0,1,0,0,0
terms conditions,1,2,2,0,0,2,0,0,0
privacy policy,1,1,2,0,0,2,0,0,0
cookie policy,1,1,2,0,0,2,0,0,0
modern slavery act,2,1,3,0,0,2,0,0,0
