Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
fashion,1,1,1,0,0,1,0,0,0
short hairstyles,1,1,2,0,0,1,0,0,0
nails,1,1,1,0,0,1,0,0,0
medium hairstyles,1,1,2,0,0,2,0,1,0
skincare,1,1,1,0,0,1,0,0,0
long hairstyles,2,1,2,0,0,1,0,0,0
holidays occasions,2,2,2,0,0,2,0,0,0
holidays occasions,2,2,2,0,0,2,0,0,0
see all holidays occasions,0,2,4,0,0,2,1,0,0
5 totally achievable goals to make your new year s,1,0,10,1,1,3,1,0,0
resolutions https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,2,2,0,0
content 2fuploads 2fsites 2f24 2f2021 2f12 2f27 2fgettyimages 1158400723 2000jpg,2,1,10,1,31,1,0,0,0
5 totally achievable goals to make your new year s resolutions,0,2,11,1,1,4,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
5 totally achievable goals to make your new year s resolutions,2,2,11,1,1,4,1,0,0
these top habits will set you up for the best year ever,2,2,12,0,0,2,1,0,0
thanksgiving,1,2,1,0,0,0,1,0,0
gifts,1,1,1,0,0,1,0,0,0
christmas,1,1,1,0,0,1,0,0,0
mother s day,1,1,3,0,0,2,0,0,0
hanukkah,1,1,1,0,0,1,0,0,0
new year s,1,1,3,0,0,2,0,0,0
easter,1,1,1,0,0,1,0,0,0
mardi gras,1,1,2,0,0,2,0,0,0
4th of july,1,1,3,1,1,1,0,0,0
weddings,2,1,1,0,0,1,0,0,0
home,2,2,1,0,0,1,0,0,0
home,2,2,1,0,0,1,0,0,0
see all home,0,2,3,0,0,1,1,0,0
16 kitchen design trends southern designers predict will be everywhere in,1,0,11,1,2,3,3,0,0
2022 https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,9,1,1,0,0
content 2fuploads 2fsites 2f24 2f2021 2f07 2f14 2f2683701 court04222987 2000jpg,2,1,10,1,36,2,0,0,0
16 kitchen design trends southern designers predict will be everywhere in 2022,0,2,12,1,6,3,3,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
16 kitchen design trends southern designers predict will be everywhere,1,2,10,1,2,3,3,0,0
in 2022,2,1,2,1,4,0,0,0,0
there s no denying how the pandemic fundamentally changed the world including,1,2,12,0,0,1,4,0,0
how we live and work inside our homes an overall trend toward celebrating,1,1,13,0,0,2,3,0,0
the history and originality of our homes is displacing ultramodern aesthetics,1,1,11,0,0,4,2,0,0
and sharp lines as we all look to create cozier colorful more personalized,1,1,13,0,0,2,2,0,0
spaces that better suit our lifestyles we re turning away from big box stores,1,1,14,0,0,4,4,0,0
and toward vintage items first out of necessity due to supply chain issues,1,1,13,0,0,5,1,0,0
and now for design reasons to add charm and character to every room in the,1,1,15,0,0,5,1,0,0
house including the kitchen here interior designers from around the south,1,1,11,0,0,4,1,0,0
share their predictions for what s trending in kitchen design for 2022 and,1,1,13,1,4,4,2,0,0
beyond,2,1,1,0,0,0,0,0,0
home decor ideas,1,2,3,0,0,3,0,0,0
idea houses,1,1,2,0,0,2,0,0,0
kitchen design,1,1,2,0,0,2,0,0,0
before after photos,1,1,3,0,0,1,0,0,0
bathroom design,1,1,2,0,0,2,0,0,0
curb appeal,1,1,2,0,0,2,0,0,0
bedroom design,1,1,2,0,0,2,0,0,0
diy home decor,1,1,3,0,0,3,0,0,0
color palettes paint,1,1,3,0,0,2,1,0,0
house plans builders,1,1,3,0,0,2,1,0,0
inspired communities,2,1,2,0,0,1,0,0,0
gardening ideas,2,2,2,0,0,2,0,0,0
gardening ideas,2,2,2,0,0,2,0,0,0
see all gardening ideas,0,2,4,0,0,2,1,0,0
if you keep finding ladybugs in your house here s what you need to,1,0,14,0,0,2,4,0,0
know https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,1,2,0,0
content 2fuploads 2fsites 2f24 2f2018 2f12 2fgettyimages 157896163 2000jpg,2,1,9,1,27,1,0,0,0
if you keep finding ladybugs in your house here s what you need to know,0,2,15,0,0,2,5,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
if you keep finding ladybugs in your house here s what you need to know,2,2,15,0,0,2,5,0,0
plus a few strategies for keeping them out of doors,2,2,10,0,0,2,1,0,0
container gardening,1,2,2,0,0,2,0,0,0
gardening flowers,1,1,2,0,0,2,0,0,0
fruit vegetable herb gardens,1,1,4,0,0,3,0,0,0
garden pests,1,1,2,0,0,2,0,0,0
plant guides a z,1,1,4,0,0,2,1,0,0
indoor plants,1,1,2,0,0,2,0,0,0
fall plants,1,1,2,0,0,2,0,0,0
landscaping ideas,1,1,2,0,0,1,1,0,0
the grumpy gardener,2,1,3,0,0,2,0,0,0
news,2,2,1,0,0,1,0,0,0
news,2,2,1,0,0,1,0,0,0
see all news,2,2,3,0,0,1,1,0,0
celebrities,1,2,1,0,0,1,0,0,0
local news,2,1,2,0,0,1,0,0,0
video,2,2,1,0,0,1,0,0,0
profile menu,2,2,2,0,0,2,0,0,0
subscribe this link opens in a new tab,2,2,8,0,0,3,1,0,0
your account,2,2,2,0,0,1,0,0,0
your account,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
join now,1,2,2,0,0,1,0,0,0
email preferences,1,1,2,0,0,2,0,0,0
newsletters,1,1,1,0,0,1,0,0,0
manage your subscription this link opens in a new tab,1,1,10,0,0,3,2,0,0
logout,2,1,1,0,0,1,0,0,0
more,2,2,1,0,0,0,0,0,0
give a gift subscription this link opens in a new tab,1,2,11,0,0,4,2,0,0
southern living books this link opens in a new tab,2,1,10,0,0,4,1,0,0
login,2,2,1,0,0,1,0,0,0
sweepstakes,2,2,1,0,0,1,0,0,0
follow us,2,2,2,0,0,0,1,0,0
1 southern living,1,2,3,1,1,1,0,0,0
2 food and recipes,1,1,4,1,1,2,0,0,0
3 desserts,1,1,2,1,1,1,0,0,0
4 cakes,1,1,2,1,1,1,0,0,0
5 cheesecake,1,1,2,1,1,1,0,0,0
6 red velvet cheesecake,2,1,4,1,1,2,0,0,0
red velvet cheesecake,2,2,3,0,0,2,0,0,0
rating 3 stars,2,2,3,1,1,2,0,0,0
4 ratings,2,2,2,1,1,1,0,0,0
5 star values 0,1,2,4,1,2,2,0,0,0
4 star values 0,1,1,4,1,2,2,0,0,0
3 star values 3,1,1,4,1,2,2,0,0,0
2 star values 1,1,1,4,1,2,2,0,0,0
1 star values 0,2,1,4,1,2,2,0,0,0
read reviews,1,2,2,0,0,1,0,0,0
add review,2,1,2,0,0,1,1,0,0
4 ratings,1,2,2,1,1,1,0,0,0
4 reviews,2,1,2,1,1,1,0,0,0
have you ever eaten a slice of red velvet cake and thought there s no way,1,2,16,0,0,5,3,1,0
this could get any better,0,1,5,0,0,0,1,0,0
or sliced off a silky piece of cheesecake and,1,0,9,0,0,2,1,1,0
thought this is the best honestly underrated dessert of all time,0,1,11,0,0,3,1,0,0
then boy,1,0,2,0,0,1,0,0,0
do we have a recipe for youif you love both red velvet cake and cheesecake,1,1,15,0,0,5,3,0,0
this perfect sweet meets rich meets creamy concoction is bound to be your new,1,1,14,0,0,3,3,0,0
favorite dessert a red velvet filling is spiked with cocoa topped with a,1,1,13,0,0,4,3,0,0
creamy cheesecake layer and baked in a dark chocolate crust making a,1,1,12,0,0,4,3,0,0
wickedly delicious combination as far as preparation goes the cake will,1,1,11,0,0,3,1,0,0
require eight hours to chill so it s perfect to make in advance prep time is,1,1,16,0,0,4,5,0,0
a cool 20 minutes and then the oven will require a bit of baby sitting for,1,1,16,1,2,4,2,0,0
the first 10 minutes after that you just set it a forget it eight hours,1,1,15,1,2,3,1,0,0
later it s time to enjoy,0,1,6,0,0,1,2,0,0
by rhonda y coker columbia south carolina,2,0,7,0,0,5,0,0,0
pin print more,2,2,3,0,0,2,0,0,0
facebook tweet email send text message,2,2,6,0,0,5,0,0,0
gallery,2,2,1,0,0,1,0,0,0
read the full recipe after the video,2,2,7,0,0,2,1,0,0
recipe summary,2,2,2,0,0,2,0,0,0
bake,2,2,1,0,0,1,0,0,0
1 hr 25 mins,2,2,4,1,3,1,0,0,0
stand,2,2,1,0,0,1,0,0,0
1 hr,2,2,2,1,1,1,0,0,0
chill,2,2,1,0,0,1,0,0,0
8 hrs,2,2,2,1,1,1,0,0,0
total,2,2,1,0,0,0,0,0,0
10 hrs 45 mins,2,2,4,1,4,1,0,0,0
prep,2,2,1,0,0,1,0,0,0
20 mins,2,2,2,1,2,1,0,0,0
yield,2,2,1,0,0,1,0,0,0
makes 8 to 10 servings,0,2,5,1,3,1,1,0,0
red velvet,1,0,2,0,0,1,0,0,0
cheesecake https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,3,1,0,0
content 2fuploads 2fsites 2f24 2f2017 2f02 2fred velvet cheesecake mr 0jpg,2,1,11,1,15,3,1,0,0
red velvet cheesecake,0,2,3,0,0,2,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
advertisement,2,2,1,0,0,1,0,0,0
ingredients,2,2,1,0,0,1,0,0,0
ingredient checklist,2,2,2,0,0,1,0,0,0
1 1/2 cups chocolate graham cracker crumbs,1,2,7,1,3,4,1,1,1
1/4 cup butter melted,1,1,4,1,2,2,1,1,1
1 tablespoon granulated sugar,1,1,4,1,1,2,1,1,1
3 8 ounce packages cream cheese softened,1,1,7,1,2,3,2,0,1
1 1/2 cups granulated sugar,1,1,5,1,3,2,1,1,1
4 large eggs lightly beaten,1,1,5,1,1,1,1,0,1
3 tablespoons unsweetened cocoa,1,1,4,1,1,2,0,1,1
1 cup sour cream,1,1,4,1,1,2,0,1,1
1/2 cup whole buttermilk,1,1,4,1,2,1,0,1,1
2 teaspoons vanilla extract,1,1,4,1,1,3,0,1,1
1 teaspoon distilled white vinegar,1,1,5,1,1,2,1,1,1
1 3 ounce package cream cheese softened,1,1,7,1,2,4,1,0,1
1/4 cup butter softened,1,1,4,1,2,2,1,1,1
2 cups powdered sugar,1,1,4,1,1,2,1,1,1
1 teaspoon vanilla extract,1,1,4,1,1,3,0,1,1
garnish fresh mint sprigs,2,1,4,0,0,2,0,0,1
directions,2,2,1,0,0,1,0,0,0
instructions checklist,2,2,2,0,0,1,1,0,0
step 1,2,2,2,1,1,1,0,0,0
stir together graham cracker crumbs melted butter and 1 tablespoon,1,2,10,1,1,5,1,1,0
granulated sugar press mixture into bottom of a 9 inch springform pan,2,1,12,1,1,6,1,1,0
advertisement,2,2,1,0,0,1,0,0,0
step 2,2,2,2,1,1,1,0,0,0
beat 3 8 ounce packages cream cheese and 1 1/2 cups granulated sugar at,1,2,14,1,5,6,2,1,0
medium low speed with an electric mixer 1 minute add eggs and next 6,1,1,14,1,2,6,0,1,0
ingredients mixing on low speed just until fully combined pour batter into,1,1,12,0,0,3,2,0,0
prepared crust,2,1,2,0,0,1,0,0,0
step 3,2,2,2,1,1,1,0,0,0
bake at 325 for 10 minutes reduce heat to 300 and bake for 1 hour and 15,1,2,17,1,11,4,2,0,0
minutes or until center is firm run knife along outer edge of cheesecake,1,1,13,0,0,5,1,0,0
turn oven off let cheesecake stand in oven 30 minutes remove cheesecake from,1,1,13,1,2,2,4,0,0
oven cool in pan on a wire rack 30 minutes cover and chill 8 hours,2,1,15,1,3,6,1,0,0
step 4,2,2,2,1,1,1,0,0,0
beat 1 3 ounce package cream cheese and 1/4 cup butter at medium speed with,1,2,15,1,4,9,0,1,0
an electric mixer until smooth gradually add powdered sugar and vanilla,1,1,11,0,0,3,1,0,0
beating until smooth spread evenly over top of cheesecake remove sides of,1,1,12,0,0,5,1,0,0
springform pan garnish if desired,2,1,5,0,0,2,2,0,0
advertisement,2,2,1,0,0,1,0,0,0
pin print more,2,2,3,0,0,2,0,0,0
facebook tweet email send text message,2,2,6,0,0,5,0,0,0
reviews 4,2,2,2,1,1,1,0,0,0
add rating review,2,2,3,0,0,2,1,0,0
sort by newest,2,2,3,0,0,2,0,0,0
newest oldest,2,2,2,0,0,0,0,0,0
southern living member,2,2,3,0,0,2,0,0,0
rating 2 stars,2,2,3,1,1,2,0,0,0
02-10-2021,2,2,1,1,8,0,0,0,0
southern living recipes are usually my go to for when i want to try out,1,2,15,0,0,4,3,0,0
something new the recipes are typically well tested so you can follow the,1,1,13,0,0,2,3,0,0
recipe as written and end up with a great creation this is not the case wit,1,1,16,0,0,4,3,0,0
this recipe first off the recipe doesn t list red food coloring in the list,1,1,15,0,0,7,1,0,0
of ingredients you have the watch the video to see that it calls for 2,1,1,15,1,1,3,3,0,0
bottles of red food coloring it s up to you determine the volume of 2,1,1,15,1,1,3,3,0,0
bottles my main issue with the recipe is that the bake temperature seems to,1,1,14,0,0,5,2,0,0
be wrong the recipe calls for 10 minutes at 325 degrees and then to reduce,1,1,15,1,5,3,3,0,0
the temp to 300 and cook for 1 hour 15 minutes i decided to use a water bath,1,1,18,1,6,5,3,0,0
to reduce chance of cracking after baking at 300 degrees 1 hour and 25,1,1,14,1,6,3,3,0,0
minutes the cake was still very wet and not even close to being set i,1,1,15,0,0,3,3,0,0
increased the temp to 325 and baked for another 40 minutes before it was done,1,1,15,1,5,2,4,0,0
so after 2 hours 5 minutes and increasing the temp to 325 it was finally,1,1,15,1,5,3,2,0,0
baked fortunately the extra long bake time did not negatively affect the,1,1,12,0,0,2,3,0,0
taste,2,1,1,0,0,1,0,0,0
jeann,2,2,1,0,0,1,0,0,0
rating 3 stars,2,2,3,1,1,2,0,0,0
12/14/2020,2,2,1,1,8,0,0,0,0
in response to anonymous i was wondering the same thing if you watch the,1,2,14,0,0,3,3,0,0
video it says to add two bottles of red food coloring,2,1,11,0,0,4,2,0,0
southern living member,2,2,3,0,0,2,0,0,0
rating 3 stars,2,2,3,1,1,2,0,0,0
12/14/2020,2,2,1,1,8,0,0,0,0
ummmi guess this is an off white velvet cheesecake,2,2,9,0,0,3,1,0,0
cgvich50,2,2,1,1,2,1,0,0,0
rating 3 stars,2,2,3,1,1,2,0,0,0
12-12-2020,2,2,1,1,8,0,0,0,0
what makes this cheesecake red,0,2,5,0,0,1,2,0,0
i don t see food coloring as an ingredient,2,0,9,0,0,3,2,0,0
load more reviews,2,2,3,0,0,1,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
review this recipe,2,2,3,0,0,2,0,0,0
red velvet cheesecake,2,2,3,0,0,2,0,0,0
rate this recipe your rating rate this a 1 couldn t eat it rate this a 2,1,2,17,1,2,6,2,0,0
didn t like it rate this a 3 it was ok rate this a 4 liked it rate this a,1,1,20,1,2,4,2,0,0
5 loved it,2,1,3,1,1,0,1,0,0
what did you think about this recipe,0,2,7,0,0,1,2,0,0
did you make any changes or notes,0,0,7,0,0,2,2,0,0
cancel submit,2,0,2,0,0,2,0,0,0
success,0,2,1,0,0,1,0,0,0
thanks for adding your feedback,2,0,5,0,0,2,1,0,0
your photo is being processed if it doesn t appear after 10 minutes try,1,2,14,1,2,2,6,0,0
refreshing the page,2,1,3,0,0,1,1,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
recipe reviews photos,2,2,3,0,0,2,0,0,0
review for,2,2,2,0,0,1,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
back to red velvet cheesecake,2,2,5,0,0,2,0,0,0
all reviews for red velvet cheesecake,2,2,6,0,0,3,0,0,0
of reviews,2,2,2,0,0,1,0,0,0
reviews most helpful,2,2,3,0,0,1,0,0,0
most helpful most positive least positive newest,2,2,7,0,0,1,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
share more,2,2,2,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
nutritional information,2,2,2,0,0,1,0,0,0
red velvet cheesecake,2,2,3,0,0,2,0,0,0
servings per recipe,2,2,3,0,0,2,0,0,0
percent daily values are based on a 2 000 calorie diet your daily values may be higher or lower depending on your calorie needs,2,2,24,1,4,5,4,0,0
nutrient information is not available for all ingredients amount is based,1,2,11,0,0,3,3,0,0
on available nutrient data,2,1,4,0,0,2,0,0,0
information is not currently available for this nutrient if you are,1,2,11,0,0,2,2,0,0
following a medically restrictive diet please consult your doctor or,1,1,10,0,0,2,2,0,0
registered dietitian before preparing this recipe for personal consumption,2,1,9,0,0,3,1,0,0
powered by the esha research database c 2018,1,2,8,1,4,3,1,0,0
esha research inc all rights reserved,2,1,6,0,0,3,2,0,0
southern living,2,2,2,0,0,1,0,0,0
magazines more,0,2,2,0,0,1,0,0,0
magazines,1,0,1,0,0,1,0,0,0
more https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fwwwsouthernlivingcom 2fimg 2fmisc 2f300x250 magazines and morejpg,2,1,14,1,13,3,1,0,0
learn more,2,2,2,0,0,0,0,0,0
about us,1,2,2,0,0,0,0,0,0
subscribe this link opens in a new tab,1,1,8,0,0,3,1,0,0
books from southern living,1,1,4,0,0,2,0,0,0
contact us,1,1,2,0,0,1,0,0,0
advertise,1,1,1,0,0,1,0,0,0
content licensing this link opens in a new tab,1,1,9,0,0,4,1,0,0
accolades this link opens in a new tab,2,1,8,0,0,3,1,0,0
connect,2,2,1,0,0,1,0,0,0
follow us,2,2,2,0,0,0,1,0,0
subscribe to our newsletter,2,2,4,0,0,2,0,0,0
meredithsouthern living is part of the meredith home group c copyright 2022,1,2,12,1,4,6,2,0,0
meredith corporation southern living is a registered trademark of meredith,1,1,10,0,0,4,1,0,0
corporationthis link opens in a new tab all rights reserved southern living,1,1,12,0,0,5,2,0,0
may receive compensation for some links to products and services on this,1,1,12,0,0,4,1,0,0
website offers may be subject to change without notice privacy policythis,1,1,11,0,0,3,2,0,0
link opens in a new tab terms of servicethis link opens in a new tab ad,1,1,16,0,0,7,2,0,0
choicesthis link opens in a new tab california do not sellthis link opens a,1,1,14,0,0,5,4,0,0
modal window web accessibilitythis link opens in a new tab,2,1,10,0,0,6,1,0,0
c copyright 2022 southern living all rights reserved printed from,1,2,10,1,4,2,3,0,0
https //wwwsouthernlivingcom 04/14/2022,2,1,3,1,8,1,1,0,0
close,2,2,1,0,0,0,0,0,0
sign in,2,2,2,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
view image,2,2,2,0,0,2,0,0,0
red velvet cheesecake,2,2,3,0,0,2,0,0,0
this link is to an external site that may or may not meet accessibility,1,2,14,0,0,3,2,0,0
